0,1,2,3,4,5,6,7,8,9,10,11,12,Label,Filename
75.36785,94.663,-6.047962,23.522724,5.6235905,7.062748,-1.858168,3.875179,-2.0725405,1.9609799,-0.47239178,2.8161376,1.3490914,blues,blues.00000_compress.wav
79.54832,106.21065,-14.645008,29.993118,0.63765514,10.879266,-5.78623,6.895167,-4.984379,4.464613,-2.6212037,4.226893,-0.33458027,blues,blues.00000_noise.wav
78.79517,107.248825,-15.631576,30.923973,-0.2337191,11.697727,-6.5569434,7.615801,-5.6551065,5.0895686,-3.1998365,4.752909,-0.8147785,blues,blues.00000_original.wav
57.115437,101.309906,-9.912857,28.526062,0.17498438,6.553299,-5.256702,5.855068,-4.871087,5.3654785,-2.8074193,5.968037,-3.2845984,blues,blues.00000_pitch.wav
191.83766,61.6424,0.1152621,11.327513,4.647036,2.0535254,-0.90672606,1.0119395,-0.7851199,-0.6461529,-0.118385546,1.6047977,0.54006463,blues,blues.00000_reverb.wav
48.543606,113.300064,-16.603178,34.153347,-2.4274597,13.999474,-9.167008,10.551133,-7.9095035,7.340479,-5.0168295,6.5248365,-1.2199917,blues,blues.00000_stretch.wav
36.508053,102.240845,12.516162,20.02295,8.7710085,11.009827,0.33884245,10.440543,-1.7381343,5.7542863,0.14103664,1.7283193,0.9923415,blues,blues.00001_compress.wav
32.642414,115.43391,8.206299,24.79797,5.8599887,14.271837,-4.0047073,13.964403,-5.2564354,7.931644,-1.94601,2.7282822,-0.0420121,blues,blues.00001_noise.wav
30.211256,118.61,5.4894667,27.170788,3.7733552,16.152315,-5.7359796,15.538034,-6.6593685,9.14522,-2.9871893,3.6211774,-0.7859719,blues,blues.00001_original.wav
8.391818,112.44149,12.258259,22.335402,8.437835,9.742243,0.1616066,12.201208,-6.5099397,9.056468,-6.007085,5.156753,-3.0193162,blues,blues.00001_pitch.wav
170.81532,73.78474,11.21442,11.935303,6.452485,6.5786667,1.5681953,4.2857184,0.52899784,2.3683674,0.574475,1.185466,1.047347,blues,blues.00001_reverb.wav
1.4690319,120.29494,7.90776,29.663712,2.4446187,18.825228,-7.7681375,18.977087,-8.72264,10.844465,-4.0671477,4.7059283,-1.4884094,blues,blues.00001_stretch.wav
78.89485,103.40948,-9.787787,14.179762,2.7969687,9.543424,1.0391049,1.7777388,-0.72955763,1.1834415,-2.3684087,-0.77111447,-1.7842602,blues,blues.00002_compress.wav
81.1593,116.468506,-19.004246,20.15338,-2.3587923,12.88161,-2.5204458,3.5215957,-3.285783,2.3454099,-4.677,-0.025909519,-3.4758224,blues,blues.00002_noise.wav
80.1824,117.77339,-20.145159,21.142109,-3.2262845,13.650357,-3.2047038,4.1215377,-3.815352,2.8163843,-5.103168,0.35217965,-3.8068826,blues,blues.00002_original.wav
59.45275,111.85721,-20.837393,18.57037,-1.7906319,12.056887,-6.0208287,2.523814,-3.6466491,0.8955867,-7.0840673,0.17085275,-7.6705856,blues,blues.00002_pitch.wav
194.42845,62.838825,-6.2044606,5.345064,2.3881829,4.2651486,1.0362833,-0.33520636,-0.45545745,0.5100712,-0.93532103,-1.1456053,-1.0647373,blues,blues.00002_reverb.wav
50.240604,124.38645,-24.481209,23.329433,-5.952817,17.603895,-6.317906,5.780445,-5.7801356,4.915333,-7.4304795,1.3257757,-4.9764123,blues,blues.00002_stretch.wav
3.759766,123.0712,13.2078285,17.986536,7.01104,9.806556,2.3997087,5.5675783,3.3942044,5.1555614,1.740936,3.3855743,1.0196884,blues,blues.00003_compress.wav
-12.356839,146.28217,5.4905553,22.695686,3.1574063,12.684856,-1.9456472,7.592183,0.6586435,7.0201216,-1.0454212,4.6545568,-0.91246873,blues,blues.00003_noise.wav
-17.164742,152.59499,0.251817,26.868372,-0.1980609,15.474877,-4.348026,9.691145,-1.2038623,8.688014,-2.5156271,5.900683,-1.9353348,blues,blues.00003_original.wav
-37.941753,143.88399,3.6731572,22.076088,1.9317335,10.818021,-2.5174313,8.22697,-0.2812657,4.962737,-3.0599952,4.2627473,-6.080624,blues,blues.00003_pitch.wav
153.72478,84.194214,7.24587,12.3764715,4.8692236,5.15568,2.2608268,3.3008895,2.3499432,2.9046438,1.8132458,1.7822894,0.81525654,blues,blues.00003_reverb.wav
-47.124302,151.5689,1.3139732,28.263208,-2.0258415,16.738443,-6.2393785,11.250849,-2.4562814,9.119858,-4.518704,6.522628,-3.4142337,blues,blues.00003_stretch.wav
77.1115,89.37268,-13.2021675,6.654576,-11.457387,-1.2829115,-6.7605834,-4.751663,-3.450559,-1.6557679,-3.9892368,-3.6135385,-1.870057,blues,blues.00004_compress.wav
76.337654,101.909294,-21.822454,11.30096,-16.96058,0.50287354,-11.721869,-4.398748,-5.444859,-2.0998507,-6.4743705,-4.25575,-3.8863728,blues,blues.00004_noise.wav
74.98211,103.744835,-23.470434,12.76796,-18.266918,1.6780858,-12.775275,-3.4632075,-6.2674866,-1.3744829,-7.106564,-3.7073522,-4.3480935,blues,blues.00004_original.wav
54.96798,96.07164,-27.501217,9.043452,-21.789145,2.6811178,-16.426384,-1.2121558,-7.3833895,-2.2889693,-10.071585,-2.1493595,-8.020864,blues,blues.00004_pitch.wav
196.05293,48.943966,-9.737433,0.79855484,-6.5258207,-1.5472479,-2.8700771,-3.207429,-2.5651324,-1.7215248,-2.269291,-2.262773,-1.2730771,blues,blues.00004_reverb.wav
48.474106,108.84577,-29.843306,17.035505,-23.865444,5.791073,-16.174698,-2.9652367,-8.296759,-0.28528622,-8.552273,-3.507859,-4.8542,blues,blues.00004_stretch.wav
62.211937,87.03854,-5.0322742,12.282477,-7.858453,0.862335,-6.667374,-2.7949197,-3.182109,-3.5914097,-5.47618,-3.7040133,-4.4430056,blues,blues.00005_compress.wav
57.310577,103.80126,-14.461205,17.106289,-13.360035,3.393923,-10.44768,-2.263646,-5.431143,-3.565898,-7.5723815,-4.112005,-6.3333435,blues,blues.00005_noise.wav
55.52963,106.1784,-16.517086,18.82364,-14.798359,4.6187134,-11.489543,-1.3827385,-6.1575894,-2.946185,-8.097044,-3.679982,-6.665213,blues,blues.00005_original.wav
34.203995,98.21422,-16.552181,15.00659,-17.797968,3.946418,-15.654447,1.310835,-9.127631,-3.5696785,-10.191079,-2.6451921,-11.844105,blues,blues.00005_pitch.wav
181.8572,54.29847,-2.8789449,4.912078,-4.7798624,-1.2516332,-3.8870313,-2.8924468,-3.3877454,-3.2974756,-4.467176,-4.547019,-4.0395913,blues,blues.00005_reverb.wav
25.901382,111.19045,-20.459803,23.824669,-20.925571,8.498862,-16.510502,1.1337985,-7.456373,-0.88570756,-8.889656,-1.8404449,-7.116132,blues,blues.00005_stretch.wav
45.54455,81.7349,-14.45574,20.175892,8.977266,0.11669227,-9.634893,-2.1805413,-1.3465436,-4.1481986,-4.2971344,-1.9699633,-3.9435935,blues,blues.00006_compress.wav
